atcc_annotation,cell_line,eigenstrat,primary_site
White,AN3CA,EA,endometrium
,COLO684,EA,endometrium
,EFE184,EA,endometrium
,EN,EAA,endometrium
,ESS1,EA,endometrium
,HEC1,EAA,endometrium
,HEC108,EAA,endometrium
,HEC151,EAA,endometrium
,HEC1A,EAA,endometrium
,HEC1B,EAA,endometrium
,HEC251,EAA,endometrium
,HEC265,EAA,endometrium
,HEC50B,EAA,endometrium
,HEC59,EAA,endometrium
,HEC6,EAA,endometrium
,ISHIKAWAHERAKLIO02ER,EAA,endometrium
,JHUEM1,EAA,endometrium
,JHUEM2,EAA,endometrium
,JHUEM3,EAA,endometrium
,JHUEM7,EAA,endometrium
,EGI1,EA,biliary_tract
,ETK1,EAA,biliary_tract
,HUCCT1,EAA,biliary_tract
,HUH28,EAA,biliary_tract
,TGBC1TKB,EAA,biliary_tract
,TGBC24TKB,EAA,biliary_tract
White,143B,EA,bone
,A673,EA,bone
,CADOES1,EAA,bone
,CAL72,AA,bone
,CAL78,EA,bone
,CHSA0011,EA,bone
,CHSA0108,EA,bone
,CHSA8926,EA,bone
,CS1,EA,bone
,ES1,EA,bone
,ES3,EA,bone
,ES4,EA,bone
,ES5,EA,bone
,ES6,EA,bone
,ES7,EA,bone
,ES8,EA,bone
,EW1,EA,bone
,EW11,EA,bone
,EW12,EA,bone
,EW13,EA,bone
,CAL39,EA,vulva
White,SW954,EA,vulva
White,SW962,EA,vulva
White,C33A,EA,cervix
White,C4I,EA,cervix
White,CASKI,EA,cervix
,DOTC24510,EA,cervix
Black,HELA,AA,cervix
White,HT3,EA,cervix
White,ME180,EA,cervix
White,MS751,EA,cervix
,OMC1,EAA,cervix
White,SW756,EA,cervix
,TCYIK,EAA,cervix
White,AU565,EA,breast
White,BT20,EA,breast
White,BT474,EA,breast
White,BT483,EA,breast
White,BT549,EA,breast
,CAL120,EA,breast
,CAL148,EA,breast
,CAL51,EA,breast
,CAL851,OA,breast
White,CAMA1,EA,breast
,COLO824,AA,breast
White,DU4475,EA,breast
,EFM19,EA,breast
,EFM192A,EA,breast
